Title,Link
"<span xml:lang=""en"">The Building Safety Act 2022 (Commencement No. 6) (Wales) Regulations 2025</span> / <span xml:lang=""cy"">Rheoliadau Deddf Diogelwch Adeiladau 2022 (Cychwyn Rhif 6) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1368/made/welsh/data.htm
"<span xml:lang=""en"">The Building Act 1984 (Commencement No. 1) (Wales) Order 2025</span> / <span xml:lang=""cy"">Gorchymyn Deddf Adeiladu 1984 (Cychwyn Rhif 1) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1367/made/welsh/data.htm
The Morecambe Offshore Windfarm Generation Assets Order 2025,http://www.legislation.gov.uk/uksi/2025/1366/made/data.htm
The Air Navigation (Restriction of Flying) (Helicopter Flight) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1364/made
The Norfolk Vanguard Offshore Wind Farm (Amendment) (No. 3) Order 2025,http://www.legislation.gov.uk/uksi/2025/1363/made/data.htm
The Norfolk Boreas Offshore Wind Farm (Amendment) (No. 2) Order 2025,http://www.legislation.gov.uk/uksi/2025/1362/made/data.htm
"<span xml:lang=""en"">The Procurement Act 2023 (Specified International Agreements) (Amendment) (Wales) Regulations 2025</span> / <span xml:lang=""cy"">Rheoliadau Deddf Caffael 2023 (Cytundebau Rhyngwladol Penodedig) (Diwygio) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1361/made/welsh/data.htm
"The Ministry of Defence Police (Conduct, Performance and Appeals Tribunals) (Amendment) (No. 2) Regulations 2025",http://www.legislation.gov.uk/uksi/2025/1360/made/data.htm
"The Air Navigation (Restriction of Flying) (New Year Celebrations, London) Regulations 2025",http://www.legislation.gov.uk/uksi/2025/1359/made
The Infected Blood Compensation Scheme (Amendment) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1358/made/data.htm
"<span xml:lang=""en"">The Avian Influenza and Influenza of Avian Origin in Mammals (Wales) (Amendment) Order 2025</span> / <span xml:lang=""cy"">Gorchymyn Ffliw Adar a Ffliw sy’n Deillio o Adar mewn Mamaliaid (Cymru) (Diwygio) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1357/made/welsh/data.htm
The Motor Fuel Price (Open Data) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1356/made/data.htm
"<span xml:lang=""en"">The Criminal Justice and Immigration Act 2008 (Commencement No. 2) (Wales) Order 2025</span> / <span xml:lang=""cy"">Gorchymyn Deddf Cyfiawnder Troseddol a Mewnfudo 2008 (Cychwyn Rhif 2) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1355/made/welsh/data.htm
The Renters’ Rights Act 2025 (Commencement No. 1) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1354/made/data.htm
"<span xml:lang=""en"">The Social Partnership and Public Procurement (Wales) Act 2023 (Commencement No. 4) Order 2025</span> / <span xml:lang=""cy"">Gorchymyn Deddf Partneriaeth Gymdeithasol a Chaffael Cyhoeddus (Cymru) 2023 (Cychwyn Rhif 4) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1353/made/welsh/data.htm
The Online Safety Act 2023 (Priority Offences) (Amendment) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1352/made/data.htm
The Enterprise Act 2002 (Mergers Involving Newspaper Enterprises and Foreign Powers) (No. 2) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1351/made/data.htm
The Education (Scotland) Act 2025 (Consequential Provisions and Modifications) Order 2025,http://www.legislation.gov.uk/uksi/2025/1350/made/data.htm
The Financial Services and Markets Act 2000 (Regulated Activities) (ESG Ratings) Order 2025,http://www.legislation.gov.uk/uksi/2025/1349/made/data.htm
The Schools (Recording and Reporting of Seclusion and Restraint) (No. 2) (England) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1348/made/data.htm
The Consumer Composite Investments (Designated Activities) (Amendment) Order 2025,http://www.legislation.gov.uk/uksi/2025/1347/made/data.htm
The Designation of Rural Primary Schools (England) Order 2025,http://www.legislation.gov.uk/uksi/2025/1346/made/data.htm
The Middlesbrough (Electoral Changes) Order 2025,http://www.legislation.gov.uk/uksi/2025/1345/made/data.htm
The Sandwell (Electoral Changes) Order 2025,http://www.legislation.gov.uk/uksi/2025/1344/made/data.htm
"<span xml:lang=""en"">The Healthy Eating in Schools (Nutritional Standards and Requirements) (Maintained Primary Schools) (Wales) Regulations 2025</span> / <span xml:lang=""cy"">Rheoliadau Bwyta’n Iach mewn Ysgolion (Gofynion a Safonau Maeth) (Ysgolion Cynradd a Gynhelir) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1343/made/welsh/data.htm
The Paternity Leave (Bereavement) Act 2024 (Commencement) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1342/made/data.htm
"The Apprenticeships, Skills, Children and Learning Act 2009 (Commencement No. 7) Order 2025",http://www.legislation.gov.uk/uksi/2025/1341/made/data.htm
The Schools (Recording and Reporting of Seclusion and Restraint) (England) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1340/made/data.htm
The Automated Vehicles Act 2024 (Commencement No. 1) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1339/made/data.htm
"<span xml:lang=""en"">The A4076 Trunk Road (Dredgeman Hill to Pope Hill, Haverfordwest, Pembrokeshire) (Derestriction) Order 2025</span> / <span xml:lang=""cy"">Gorchymyn Cefnffordd yr A4076 (Dredgeman Hill i Pope Hill, Hwlffordd, Sir Benfro) (Dileu Cyfyngiad) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1338/made
The Procurement Act 2023 (Specified International Agreements and Saving Provision) (Amendment) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1337/made/data.htm
The Government Resources and Accounts Act 2000 (Estimates and Accounts) (Amendment) Order 2025,http://www.legislation.gov.uk/uksi/2025/1336/made/data.htm
The Judicial Appointments Commission (Amendment) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1335/made/data.htm
The Financial Services and Markets Act 2023 (Prudential Regulation of Credit Institutions) (Consequential Amendments) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1333/made/data.htm
The Power to Award Degrees etc. (Royal Northern College of Music) Order 2025,http://www.legislation.gov.uk/uksi/2025/1332/made/data.htm
The Data (Use and Access) Act 2025 (Consequential and Other Amendments) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1331/made/data.htm
The Infrastructure (Wales) Act 2024 (Consequential Amendments) Order 2025,http://www.legislation.gov.uk/uksi/2025/1330/made/data.htm
The M60/M62/M66 Simister Island Interchange Development Consent (Correction) Order 2025,http://www.legislation.gov.uk/uksi/2025/1329/made/data.htm
The Unmanned Aircraft (Market Surveillance Authority) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1328/made/data.htm
The Central African Republic (Sanctions) (EU Exit) (Amendment) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1327/made/data.htm
"The Product Security and Telecommunications Infrastructure Act 2022 (Commencement No. 4, Saving and Transitional Provisions) Regulations 2025",http://www.legislation.gov.uk/uksi/2025/1326/made/data.htm
The Victims and Prisoners Act 2024 (Commencement No. 9) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1325/made/data.htm
The Immigration Skills Charge (Amendment) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1324/made/data.htm
"<span xml:lang=""en"">The Council Tax (Alteration of Lists and Appeals) (Amendment) (Wales) Regulations 2025</span> / <span xml:lang=""cy"">Rheoliadau’r Dreth Gyngor (Newid Rhestrau ac Apelau) (Diwygio) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1323/made
"The Town and Country Planning (Entertainment Resort Complex, Bedford) Special Development (No. 2) Order 2025",http://www.legislation.gov.uk/uksi/2025/1322/made/data.htm
"<span xml:lang=""en"">The Building (Higher-Risk Buildings Procedures) (Wales) Regulations 2025</span> / <span xml:lang=""cy"">Rheoliadau Adeiladu (Gweithdrefnau Adeiladau Risg Uwch) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1321/made/welsh/data.htm
"<span xml:lang=""en"">The Building etc. (Amendment) (No. 2) (Wales) Regulations 2025</span> / <span xml:lang=""cy"">Rheoliadau Adeiladu etc. (Diwygio) (Rhif 2) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1320/made
"The Border Security, Asylum and Immigration Act 2025 (Commencement No. 1) Regulations 2025",http://www.legislation.gov.uk/uksi/2025/1318/made/data.htm
"<span xml:lang=""en"">The Revised Code of Practice on the exercise of social services functions in relation to Part 4 (direct payments and choice of accommodation) and Part 5 (charging and financial assessment) of the Social Services and Well-being (Wales) Act 2014 (Appointed Day) Order 2025</span> / <span xml:lang=""cy"">Gorchymyn y Cod Ymarfer Diwygiedig ar arfer swyddogaethau gwasanaethau cymdeithasol mewn perthynas â Rhan 4 (taliadau uniongyrchol a dewis o lety) a Rhan 5 (codi ffioedd ac asesiadau ariannol) o Ddeddf Gwasanaethau Cymdeithasol a Llesiant (Cymru) 2014 (Diwrnod Penodedig) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1317/made/welsh/data.htm
The Procurement Act 2023 (Commencement No. 4) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1316/made/data.htm
"The Town and Country Planning (Entertainment Resort Complex, Bedford) Special Development Order 2025 (revoked)",http://www.legislation.gov.uk/uksi/2025/1315/2025-12-17/data.htm
The Old Trafford Regeneration Mayoral Development Corporation (Establishment) Order 2025,http://www.legislation.gov.uk/uksi/2025/1314/made/data.htm
The Occupational Pension Schemes (Collective Money Purchase Schemes) (Extension to Unconnected Multiple Employer Schemes and Miscellaneous Provisions) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1313/made/data.htm
The Health and Care Act 2022 (Consequential Amendments) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1312/made/data.htm
The Designation of Schools Having a Religious Character (Independent Schools) (England) (No.2) Order 2025,http://www.legislation.gov.uk/uksi/2025/1311/made/data.htm
The Atom Valley Northern Gateway Mayoral Development Corporation (Establishment) Order 2025,http://www.legislation.gov.uk/uksi/2025/1310/made/data.htm
"<span xml:lang=""en"">The Agriculture Support Schemes (Eligibility, Enforcement and Appeals) (Wales) Regulations 2025</span> / <span xml:lang=""cy"">Rheoliadau Cynlluniau Cymorth Amaethyddiaeth (Cymhwysedd, Gorfodi ac Apelau) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1308/made
The Sanctions (Miscellaneous Amendments) (Overseas Territories) Order 2025,http://www.legislation.gov.uk/uksi/2025/1307/made/data.htm
"<span xml:lang=""en"">The Infrastructure (Wales) Act 2024 (Commencement No. 2) Order 2025</span> / <span xml:lang=""cy"">Gorchymyn Deddf Seilwaith (Cymru) 2024 (Cychwyn Rhif 2) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1306/made/welsh/data.htm
"<span xml:lang=""en"">The Visitor Accommodation (Register and Levy) Etc. (Wales) Act 2025 (Commencement) Order 2025</span> / <span xml:lang=""cy"">Gorchymyn Deddf Llety Ymwelwyr (Cofrestr ac Ardoll) Etc. (Cymru) 2025 (Cychwyn) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1305/made/welsh/data.htm
The Education (Chief Inspector of Education and Training in Wales) Order 2025,http://www.legislation.gov.uk/uksi/2025/1304/made/data.htm
The Victims and Prisoners Act 2024 (Permitted Disclosures) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1303/made/data.htm
The Double Taxation Relief and International Tax Enforcement (Romania) Order 2025,http://www.legislation.gov.uk/uksi/2025/1302/made/data.htm
The Double Taxation Relief and International Tax Enforcement (Andorra) Order 2025,http://www.legislation.gov.uk/uksi/2025/1301/made/data.htm
The Double Taxation Relief and International Tax Enforcement (Portuguese Republic) Order 2025,http://www.legislation.gov.uk/uksi/2025/1300/made/data.htm
The Double Taxation Relief and International Tax Enforcement (Peru) Order 2025,http://www.legislation.gov.uk/uksi/2025/1299/made/data.htm
The Merchant Shipping (Safety Measures for Ships Carrying Industrial Personnel and Special Personnel) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1298/made/data.htm
The Government of Wales Act 2006 (Devolved Welsh Authorities) (Amendment) Order 2025,http://www.legislation.gov.uk/uksi/2025/1297/made/data.htm
"<span xml:lang=""en"">The Procurement Act 2023 (Threshold Amounts) (Amendment) (Wales) Regulations 2025</span> / <span xml:lang=""cy"">Rheoliadau Deddf Caffael 2023 (Symiau Trothwy) (Diwygio) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1296/made/welsh/data.htm
"The Air Navigation (Restriction of Flying) (HM Dockyard, Portsmouth) (Emergency) (Amendment) (Revocation) Regulations 2025",http://www.legislation.gov.uk/uksi/2025/1295/made
The Air Navigation (Restriction of Flying) (St Austell Cornwall) (Emergency) (No. 3) (Revocation) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1294/made
The Financial Services and Markets Act 2023 (Commencement No. 10 and Saving Provisions) (Amendment) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1293/made/data.htm
The Access to the Countryside (Coastal Margin) (Combe Martin to Marsland Mouth) Order 2025,http://www.legislation.gov.uk/uksi/2025/1292/made/data.htm
The Offshore Installations (Safety Zones) (No. 2) Order 2025,http://www.legislation.gov.uk/uksi/2025/1291/made/data.htm
The Access to the Countryside (Coastal Margin) (Cremyll to Kingswear) Order 2025,http://www.legislation.gov.uk/uksi/2025/1290/made/data.htm
The Customs (Tariff and Miscellaneous Amendments) (No. 4) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1289/made/data.htm
The Bournemouth-Swanage Motor Road and Ferry (Revision of Tolls) Order 2025,http://www.legislation.gov.uk/uksi/2025/1288/made/data.htm
The Childcare (Free of Charge for Working Parents) (England) (Amendment) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1287/made/data.htm
The Football Governance Act 2025 (Commencement No. 2) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1286/made/data.htm
The Air Navigation (Restriction of Flying) (Whitfield) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1285/made
The Unmanned Aircraft (Offences and Consequential Amendments) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1284/made/data.htm
The Power to Award Degrees etc. (LTE Group Limited) (Revocation) Order 2025,http://www.legislation.gov.uk/uksi/2025/1283/made/data.htm
